name,district,lat,lng,tag
中国银行(蒙山路支行),金山区,30.734272,121.349978,金融;银行
中国建设银行(上海隆安支行),金山区,30.724144,121.352756,金融;银行
中国建设银行(金山石化支行营业室),金山区,30.735468,121.350802,金融;银行
中国建设银行(金山卫支行),金山区,30.734855,121.328733,金融;银行
中国农业银行(金卫支行),金山区,30.736606,121.325617,金融;银行
中国工商银行(上海市金山支行营业厅),金山区,30.733357,121.343577,金融;银行
中国农业银行(上海卫清路支行),金山区,30.734332,121.344366,金融;银行
中国工商银行(上海市龙胜路支行),金山区,30.731566,121.349814,金融;银行
上海银行(金山支行营业部),金山区,30.735961,121.355698,金融;银行
中国银行(卫零路支行),金山区,30.720867,121.346007,金融;银行
中国工商银行(上海市金天地支行),金山区,30.736661,121.356611,金融;银行
中国农业银行(上海蒙山路支行),金山区,30.723949,121.35221,金融;银行
中国工商银行(经一路支行),金山区,30.718522,121.345398,金融;银行
上海银行(蒙山路支行),金山区,30.731483,121.35105,金融;银行
上海市农村商业银行(石化分理处),金山区,30.732465,121.343087, 
上海农村商业银行(金山支行),金山区,30.734865,121.349827, 
中国光大银行(金山支行),金山区,30.735244,121.349345,金融;银行
中国工商银行(上海市象州路支行),金山区,30.716289,121.351577,金融;银行
中国邮政储蓄银行(金卫邮局营业部),金山区,30.73096,121.323314,金融;银行
中国农业银行(象州路支行),金山区,30.71654,121.350955,金融;银行
中国农业银行(海鸥大厦支行),金山区,30.736176,121.357486,金融;银行
广东发展银行(金山支行),金山区,30.736651,121.355881,金融;银行
中国农业发展银行(金山区支行),金山区,30.735553,121.341825,金融;银行
中国民生银行(金山支行),金山区,30.732045,121.351085,金融;银行
中国农业银行(上海金山支行个人贷款中心),金山区,30.736113,121.357515,金融;银行
中国建设银行24小时自助银行(金山卫支行),金山区,30.734723,121.328687, 
中国农业银行ATM(蒙山路),金山区,30.735711,121.350028, 
中国建设银行24小时自助银行(上海金山石化支行),金山区,30.735451,121.350651, 
中国工商银行24小时自助银行(经一路支行),金山区,30.718728,121.345279, 
中国银行ATM(卫零路支行),金山区,30.720923,121.345993, 
中国建设银行ATM(隆安支行),金山区,30.72413,121.35272, 
宁波银行(上海金山支行),金山区,30.7322,121.355237,金融;银行
中国邮政储蓄银行(卫清西路支行),金山区,30.735861,121.356214,金融;银行
中国邮政储蓄银行(上海金山区支行),金山区,30.718721,121.34499,金融;银行
中国邮政储蓄银行(东门邮局营业部),金山区,30.734111,121.343379,金融;银行
中国银行ATM(金山支行),金山区,30.734104,121.34999, 
中国农业银行自助银行(卫清西路),金山区,30.736122,121.357655, 
中国邮政储蓄银行ATM(东门营业所),金山区,30.734141,121.343349, 
中国农业银行自助银行(蒙山路),金山区,30.72403,121.35221, 
上海市农村商业银行ATM(金卫支行),金山区,30.735,121.329948, 
上海银行ATM(石化支行),金山区,30.718936,121.346658, 
中国工商银行附行式自助银行(上海分行金山支行),金山区,30.733561,121.343409, 
中国光大银行ATM(金山支行),金山区,30.735218,121.349144, 
珉云金融(卫清西路),金山区,30.733958,121.345643,金融;银行
广东发展银行ATM(上海金山支行ATM),金山区,30.736509,121.355846, 
中国农业银行24小时自助银行(卫清路支行),金山区,30.734234,121.344442, 
上海银行24小时自助银行服务(金山支行营业部),金山区,30.735989,121.35578, 
上海浦东发展银行24小时自助银行(金山支行),金山区,30.735859,121.356307, 
中国邮政储蓄银行24小时自助银行(卫清西路支行),金山区,30.735849,121.356151, 
中国工商银行24小时自助银行(金天地支行),金山区,30.736651,121.356422, 
上海市农村商业银行24小时自助银行(金卫支行),金山区,30.736413,121.325035, 
上海银行24小时自助银行服务(蒙山路支行),金山区,30.731393,121.35108, 
中国邮政储蓄银行ATM(上海金山区支行),金山区,30.718741,121.345091, 
中赢金融,金山区,30.717414,121.346609,金融;银行
中国邮政储蓄银行24小时自助银行(金卫支行),金山区,30.730961,121.323383, 
上海农商银行ATM(石化分理处),金山区,30.732548,121.343075, 
中国民生银行24小时自助银行(上海金山支行),金山区,30.731966,121.350992, 
中国工商银行附行式自助银行(上海分行金山龙胜路支行),金山区,30.731609,121.34994, 
中国工商银行离行式自助服务区(上海分行金山支行金一路炼化部),金山区,30.715834,121.322429, 
上海农商银行24小时自助服务,金山区,30.73528,121.362017, 
中国工商银行离行式自助银行(上海分行金山支行金山大道国贸城),金山区,30.736813,121.311662, 
招商银行(上海金山支行),金山区,30.760474,121.343719,金融;银行
中国工商银行(上海市金山新城区支行),金山区,30.752861,121.342004,金融;银行
中国农业银行(上海金山支行),金山区,30.745884,121.345657,金融;银行
