name,district,lat,lng,tag
金山大道春华路,金山区,30.732015,121.298139, 
金山大道夏盛路,金山区,30.72999,121.292922, 
沪杭公路卫八路,金山区,30.710819,121.293061, 
金山第二工业区,金山区,30.729394,121.285311, 
金山第二工业区(招呼站),金山区,30.729297,121.285374, 
卫九路沪杭公路,金山区,30.708552,121.280487, 
周家村(招呼站),金山区,30.709422,121.285677, 
金山大道卫六路,金山区,30.734782,121.30576, 
沪杭公路卫五路,金山区,30.720067,121.314084, 
沪杭公路卫六路,金山区,30.717935,121.308047, 
老西门花苑,金山区,30.73169,121.313289, 
板桥路卫六路,金山区,30.731119,121.308467, 
金山大道卫宏路,金山区,30.736364,121.312246, 
金山大道卫宏路(招呼站),金山区,30.736313,121.312664, 
沪杭公路卫七路,金山区,30.71352,121.300598, 
东平南路板桥西路,金山区,30.735377,121.338485, 
沪杭公路学府路,金山区,30.722331,121.333056, 
石化总厂,金山区,30.723382,121.339558, 
卫二路沪杭公路,金山区,30.721867,121.339342, 
金一路卫二路,金山区,30.717802,121.337215, 
卫二路金一路,金山区,30.718942,121.339998, 
龙胜路施三路,金山区,30.728932,121.334987, 
板桥西路东平南路,金山区,30.735881,121.335154, 
沪杭公路学府路(招呼站),金山区,30.722337,121.333089, 
卫二路沪杭路,金山区,30.721743,121.339366, 
沪杭公路卫二路,金山区,30.723325,121.339462, 
学府路卫清西路,金山区,30.731846,121.33018, 
学府路卫清西路(金卫中学),金山区,30.731858,121.330177, 
学府路金山大道,金山区,30.736343,121.328636, 
板桥西路学府路,金山区,30.734312,121.327724, 
学府路金山大道(招呼站),金山区,30.736328,121.328645, 
沪杭公路卫四路,金山区,30.721253,121.327864, 
板桥西路古城路(金卫小学),金山区,30.733551,121.323873, 
老卫清路学府路(招呼站),金山区,30.731094,121.329218, 
社区服务中心,金山区,30.732006,121.324776, 
卫清西路学府路,金山区,30.731724,121.332524, 
学府路龙胜路,金山区,30.726609,121.331323, 
西静路板桥西路,金山区,30.733578,121.320405, 
板桥西路古城路,金山区,30.733556,121.323925, 
学府路龙胜路(招呼站),金山区,30.726538,121.331335, 
板桥西路城河路,金山区,30.735275,121.331841, 
金山卫镇服务中心,金山区,30.732099,121.324814, 
学府路卫清西路(十字街),金山区,30.731791,121.330191, 
板桥路古城路,金山区,30.733576,121.324038, 
板桥路西静路,金山区,30.73278,121.320261, 
金山卫镇卫生服务中心,金山区,30.732163,121.320827, 
加油站,金山区,30.721765,121.330422, 
