name,district,lat,lng,tag
复旦大学附属金山医院,金山区,30.763355,121.335017,医疗;综合医院
上海建国医院(卫清西路),金山区,30.733741,121.344061,医疗;综合医院
复旦大学附属中山医院(南院),金山区,30.796073,121.346557,医疗;综合医院
金山区妇幼保健所,金山区,30.90332,121.169983,医疗;专科医院
上海市奉贤区古华医院,奉贤区,30.919552,121.47436,医疗;专科医院
惠爱医院,奉贤区,30.909014,121.457917,医疗;综合医院
上海市第六人民医院东院,浦东新区,30.89181,121.929428,医疗;综合医院
上海市松江区中心医院,松江区,31.01357,121.227303,医疗;专科医院
陈氏正骨,松江区,31.020509,121.249857,医疗;专科医院
上海茸城医院,松江区,31.017233,121.228103,医疗;综合医院
上海市第五人民医院,闵行区,31.011794,121.413955,医疗;综合医院
上海市奉贤区中心医院,奉贤区,30.92778,121.513225,医疗;综合医院
上海奉浦医院,奉贤区,30.925378,121.473755,医疗;综合医院
上海道培医院,闵行区,31.011755,121.414402,医疗;专科医院
上海市第一人民医院(南院) ,松江区,31.046675,121.23255,医疗;综合医院
松江区妇幼保健院,松江区,31.030996,121.226276,医疗;专科医院
上海市松江区泗泾医院,松江区,31.12564,121.260347,医疗;综合医院
上海市养志康复医院,松江区,31.071448,121.247654,医疗;专科医院
上海安贞医院,松江区,31.03715,121.253707,医疗;综合医院
智和楼,松江区,31.071122,121.249366,医疗;专科医院
上海贝德口腔门诊部,松江区,31.045199,121.240207,医疗;专科医院
上海市闵行区中心医院,闵行区,31.113897,121.381873,医疗;综合医院
东开医院,松江区,31.038025,121.289986,医疗;综合医院
上海交通大学医学院附属仁济医院南院,闵行区,31.087329,121.505159,医疗;综合医院
上海同心护理院,闵行区,31.094159,121.438706,医疗;综合医院
上海市精神卫生中心B,闵行区,31.06286,121.410286,医疗;综合医院
上海市精神卫生中心7,闵行区,31.061571,121.411663,医疗;综合医院
上海市精神卫生中心L8,闵行区,31.064395,121.410657,医疗;综合医院
上海市精神卫生中心6,闵行区,31.061898,121.4116,医疗;综合医院
上海市精神卫生中心5,闵行区,31.062127,121.411563,医疗;综合医院
上海市精神卫生中心A,闵行区,31.062466,121.410416,医疗;综合医院
上海市浦东新区周浦医院,浦东新区,31.104267,121.601978,医疗;综合医院
上海国龙医院,浦东新区,31.130378,121.590625,医疗;专科医院
上海国际医学中心(SIMC),浦东新区,31.122015,121.628963,医疗;综合医院
上海市质子重离子医院,浦东新区,31.121444,121.624973,医疗;专科医院
上海惠元医院,浦东新区,31.133694,121.613584,医疗;综合医院
上海知音医院,浦东新区,31.12114,121.582477,医疗;综合医院
上海康沈医院,浦东新区,31.122563,121.582799,医疗;综合医院
长海医院骨科医生团队合作医院,浦东新区,31.130302,121.590567,医疗;专科医院
唐平坊,浦东新区,31.123875,121.592212,医疗;专科医院
上海浦东医院,浦东新区,31.064281,121.743438,医疗;综合医院
浦东新区老年医院,浦东新区,31.044986,121.696684,医疗;综合医院
上海新视界东区眼科医院,浦东新区,31.054048,121.759092,医疗;专科医院
上海福华医院,浦东新区,31.045581,121.753465,医疗;综合医院
电焊机医院,浦东新区,31.045482,121.77001,医疗;综合医院
上海长安妇科医院,浦东新区,31.047374,121.769693,医疗;专科医院
复旦大学附属中山医院青浦分院,青浦区,31.161448,121.143969,医疗;综合医院
上海市青浦区中医医院,青浦区,31.155868,121.12257,医疗;综合医院
上海仁博医院,青浦区,31.156101,121.118201,医疗;综合医院
上海同德医院,青浦区,31.167473,121.112319,医疗;综合医院
上海红博医院,青浦区,31.155809,121.118157,医疗;综合医院
上海青城医院,青浦区,31.165842,121.121891,医疗;综合医院
上海华泰医院,闵行区,31.241178,121.279311,医疗;综合医院
上海德达医院,青浦区,31.178015,121.249611,医疗;综合医院
上海华伦医院,青浦区,31.177837,121.279263,医疗;综合医院
上海市儿童医院（泸定路院区),普陀区,31.232531,121.392875,医疗;专科医院
上海市同仁医院,长宁区,31.214638,121.38375,医疗;综合医院
上海市闵行区中医医院,闵行区,31.183297,121.386094,医疗;综合医院
复旦大学附属华山医院(西院),闵行区,31.214032,121.280538,医疗;综合医院
中国人民武装警察部队上海市总队医院,长宁区,31.198454,121.394472,医疗;综合医院
京汇医院,青浦区,31.173813,121.282355,医疗;综合医院
上海光泽医院,闵行区,31.188236,121.379192,医疗;综合医院
上海申德医院,长宁区,31.197515,121.380781,医疗;综合医院
上海市同仁医院(威宁分部),长宁区,31.212199,121.392377,医疗;综合医院
上海西郊骨科医院,长宁区,31.213411,121.375356,医疗;专科医院
上海一O八医院,长宁区,31.202135,121.37266,医疗;综合医院
上海美上美学微整中心,长宁区,31.20239,121.399461,医疗;专科医院
武警上海市总队医院风湿科,长宁区,31.198348,121.394794,医疗;综合医院
Implant齿科种植中心,闵行区,31.150195,121.391547,医疗;专科医院
远大健康城,青浦区,31.160986,121.292686,医疗;综合医院
上海长虹医院,长宁区,31.222002,121.384938,医疗;综合医院
彭氏,长宁区,31.219583,121.365402,医疗;专科医院
复旦大学附属华山医院,静安区,31.222414,121.449287,医疗;综合医院
上海交通大学医学院附属第九人民医院（南部）,黄浦区,31.208159,121.492941,医疗;综合医院
上海市第六人民医院,徐汇区,31.18474,121.428723,医疗;综合医院
复旦大学附属中山医院,徐汇区,31.204084,121.460147,医疗;综合医院
复旦大学附属眼耳鼻喉科医院(总院区),徐汇区,31.215517,121.459921,医疗;专科医院
