name,district,lat,lng,tag
滴水湖,浦东新区,30.9134,121.935988,地铁站
书院,浦东新区,30.965002,121.85722,地铁站
临港大道,浦东新区,30.930355,121.916745,地铁站
松江体育中心,松江区,31.022048,121.237089,地铁站
松江南站,松江区,30.990998,121.237372,地铁站
醉白池,松江区,31.006987,121.235829,地铁站
闵行开发区,闵行区,31.006272,121.376509,地铁站
文井路,闵行区,31.009181,121.387328,地铁站
东川路,闵行区,31.024468,121.426326,地铁站
华宁路,闵行区,31.013097,121.401623,地铁站
金平路,闵行区,31.017172,121.416547,地铁站
松江新城,松江区,31.036209,121.237259,地铁站
松江大学城,松江区,31.060041,121.239201,地铁站
颛桥,闵行区,31.072842,121.408435,地铁站
剑川路,闵行区,31.032572,121.422973,地铁站
北桥,闵行区,31.051134,121.416485,地铁站
联航路,闵行区,31.079655,121.51713,地铁站
沈杜公路,闵行区,31.067057,121.518849,地铁站
汇臻路,闵行区,31.031163,121.531392,地铁站
闵瑞路,闵行区,31.054469,121.536872,地铁站
三鲁公路,闵行区,31.062055,121.533989,地铁站
东城一路,闵行区,31.036014,121.538758,地铁站
浦航路,闵行区,31.047041,121.53709,地铁站
航头东,浦东新区,31.060692,121.624049,地铁站
鹤沙航城,浦东新区,31.083402,121.617792,地铁站
新场,浦东新区,31.051489,121.655259,地铁站
野生动物园,浦东新区,31.056406,121.706186,地铁站
惠南,浦东新区,31.059659,121.768452,地铁站
惠南东,浦东新区,31.032886,121.800261,地铁站
东方绿舟,青浦区,31.10417,121.026283,地铁站
朱家角,青浦区,31.107013,121.056713,地铁站
佘山,松江区,31.110609,121.236257,地铁站
泗泾,松江区,31.123976,121.267259,地铁站
洞泾,松江区,31.090393,121.237014,地铁站
七莘路,闵行区,31.137798,121.369817,地铁站
春申路,闵行区,31.103958,121.392332,地铁站
莘庄综合交通枢纽,闵行区,31.11483,121.393927, 
莘庄,闵行区,31.116581,121.391623,地铁站
外环路,闵行区,31.126929,121.399814,地铁站
银都路,闵行区,31.095083,121.396872,地铁站
莲花路,闵行区,31.136734,121.409334,地铁站
芦恒路,闵行区,31.124907,121.504377,地铁站
江月路,闵行区,31.089988,121.515133,地铁站
浦江镇,闵行区,31.102197,121.512891,地铁站
