name,district,lat,lng,tag
张堰小学,金山区,30.807865,121.300257,教育培训;小学
金山区山阳小学,金山区,30.768222,121.378557,教育培训;小学
金山区海棠小学,金山区,30.745879,121.359878,教育培训;小学
上海市金山小学,金山区,30.758843,121.348847,教育培训;小学
金山区金卫小学,金山区,30.735397,121.325145,教育培训;小学
金山区第二实验小学,金山区,30.736066,121.346968,教育培训;小学
学府小学,金山区,30.753284,121.318853,教育培训;小学
金山区教师进修学院附属小学,金山区,30.714995,121.353747,教育培训;小学
金山区石化第一小学,金山区,30.722887,121.354896,教育培训;小学
金山区石化地区第五小学,金山区,30.734023,121.333271,教育培训;小学
金山区二小,金山区,30.735063,121.347044,教育培训;小学
上海金山区民办查山小学,金山区,30.759282,121.321083,教育培训;小学
金山区第二实验小学南校,金山区,30.730219,121.347211,教育培训;小学
上海民办永昌私立学校,金山区,30.779269,121.362535,教育培训;小学
金山区东礁小学,金山区,30.729999,121.346665,教育培训;小学
上海金安学校,金山区,30.787007,121.306231,教育培训;小学
山阳·九丰路,金山区,30.770081,121.394629,教育培训;小学
金山区漕泾小学,金山区,30.803145,121.402929,教育培训;小学
兴塔小学,金山区,30.878946,121.085022,教育培训;小学
兴塔中心小学,金山区,30.872724,121.08111,教育培训;小学
金山区民办金龙小学,金山区,30.894633,121.149612,教育培训;小学
金山区第一实验小学,金山区,30.905226,121.179161,教育培训;小学
吕巷小学,金山区,30.83173,121.183318,教育培训;小学
金山区第一实验小学(南校区),金山区,30.894536,121.182143,教育培训;小学
上海市金山区松隐小学,金山区,30.897932,121.246377,教育培训;小学
金山区朱泾小学,金山区,30.894168,121.164095,教育培训;小学
金山区朱泾第二小学,金山区,30.903474,121.168785,教育培训;小学
上海市干巷学校(小学部),金山区,30.834209,121.245201,教育培训;小学
金山区学校少年宫联盟,金山区,30.897175,121.165378,教育培训;小学
金山区朱泾第一小学,金山区,30.90645,121.169168,教育培训;小学
亭林小学,金山区,30.895769,121.326636,教育培训;小学
金山区朱行中心小学,金山区,30.854433,121.340999,教育培训;小学
