name,district,lat,lng,tag
漕泾羊肉老店,金山区,30.799964,121.418895,美食;中餐厅
有一家面馆,金山区,30.801875,121.417121,美食;小吃快餐店
花佳怡园饭店,金山区,30.801801,121.418964,美食;中餐厅
雪华饭店,金山区,30.800816,121.419729,美食;中餐厅
格香客(漕泾店),金山区,30.801783,121.418405,美食;小吃快餐店
绅士海鲜楼,金山区,30.801574,121.417372,美食;中餐厅
春豪饭店,金山区,30.801067,121.419591,美食;中餐厅
魔力红,金山区,30.801743,121.41813,美食;小吃快餐店
福建特色千里香馄饨王(中一路),金山区,30.801735,121.415879,美食;小吃快餐店
秀龙家常小炒,金山区,30.800558,121.419711,美食;中餐厅
安徽淮南黄牛牛肉汤,金山区,30.801506,121.418058,美食;中餐厅
上海市意然餐饮有限公司,金山区,30.793993,121.414083, 
清河大包,金山区,30.801603,121.419684,美食;小吃快餐店
小姜饭店,金山区,30.803389,121.411359,美食;中餐厅
老磨坊,金山区,30.803322,121.412024,美食;小吃快餐店
小美餐馆,金山区,30.803496,121.411385,美食;中餐厅
农家黑猪肉,金山区,30.802865,121.411245,美食;中餐厅
苏州汤包馆(中一西路),金山区,30.801868,121.417122,美食;小吃快餐店
南翔小笼(漕泾店),金山区,30.803394,121.411725,美食;小吃快餐店
东海海鲜馆(漕泾店),金山区,30.788904,121.423086,美食;中餐厅
飞赢石锅鱼火锅,金山区,30.800565,121.425644,美食;中餐厅
沪川汇酒店,金山区,30.800325,121.424997, 
皇甫烧烤(漕泾店),金山区,30.800882,121.42508,美食;中餐厅
川湘缘(中一东路),金山区,30.800435,121.426739,美食;中餐厅
黑龙江饺子王,金山区,30.800777,121.423951,美食;小吃快餐店
和平饭店(共建路店),金山区,30.799712,121.424828,美食;中餐厅
绅氏快餐厅,金山区,30.80056,121.42896,美食;小吃快餐店
一品牛肉面(中一西路店),金山区,30.801192,121.420403,美食;小吃快餐店
重庆鸡公煲(漕泾店),金山区,30.800565,121.425584,美食;中餐厅
上海鼎麟餐饮有限公司,金山区,30.801337,121.427971, 
巴比馒头(中一东路店),金山区,30.800588,121.425176,美食;小吃快餐店
增丰羊肉庄,金山区,30.801453,121.424486,美食;中餐厅
天赐川香阁,金山区,30.801173,121.424877,美食;中餐厅
大别山鹅块火锅(漕泾店),金山区,30.80054,121.42575,美食;中餐厅
燕沙餐饮棋牌,金山区,30.800074,121.424927, 
小炒家常菜,金山区,30.801359,121.424194,美食;中餐厅
小周水产店,金山区,30.801736,121.424531,美食;中餐厅
皖颖酒家,金山区,30.800423,121.426946,美食;中餐厅
梅记大饼油条店,金山区,30.801193,121.424616,美食;中餐厅
来伊份(中一东路店),金山区,30.801065,121.423822,美食;小吃快餐店
重庆麻辣烫,金山区,30.801098,121.425219,美食;中餐厅
台湾啤酒醉鸭(漕泾店),金山区,30.801012,121.424095,美食;中餐厅
特色汤圆垫,金山区,30.801631,121.424154,美食;中餐厅
老鸭粉丝汤(中一东路店),金山区,30.80154,121.424126,美食;小吃快餐店
许氏快餐,金山区,30.800468,121.429549,美食;小吃快餐店
大众快餐(中一东路店),金山区,30.801399,121.424476,美食;小吃快餐店
徐记快餐店,金山区,30.800334,121.427742,美食;小吃快餐店
思缘阁,金山区,30.800392,121.427098,美食;小吃快餐店
烨净快餐,金山区,30.79873,121.423929,美食;小吃快餐店
恩好栗子店,金山区,30.801548,121.42039,美食;小吃快餐店
