name,district,lat,lng,tag
中侨职业技术学院(金山校区),金山区,30.804232,121.311122,教育培训;高等院校
华东理工大学(金山科技园区),金山区,30.746,121.327042,教育培训;高等院校
金山社区学院,金山区,30.728939,121.3349,教育培训;高等院校
中国石油大学上海学习中心,金山区,30.72909,121.334869,教育培训;高等院校
上海工程技术大学金山教学点,金山区,30.737581,121.358889,教育培训;高等院校
华东理工大学毅园,金山区,30.747561,121.325587,教育培训;高等院校
华东理工大学报告厅工会办公室,金山区,30.746299,121.328374,教育培训;高等院校
东方农村信息苑(龙航路),金山区,30.768115,121.354043,教育培训;高等院校
上海电视大学金山分校,金山区,30.902869,121.165981,教育培训;高等院校
金山卫校,金山区,30.895815,121.172479,教育培训;高等院校
上海交通大学网络教育学院金山食品工业学校教学点,金山区,30.902544,121.178315,教育培训;高等院校
上海农林职业技术学院(金山分院),金山区,30.901445,121.178275,教育培训;高等院校
上海市退休职工大学金山分校朱泾教学点,金山区,30.900579,121.169466,教育培训;高等院校
上海应用技术大学(奉贤校区),奉贤区,30.848402,121.517148,教育培训;高等院校
华东理工大学(奉贤校区),奉贤区,30.83673,121.510342,教育培训;高等院校
上海城市专修学院,奉贤区,30.848201,121.455819,教育培训;高等院校
华东理工大学奉贤校区-通海湖,奉贤区,30.836225,121.508743,教育培训;高等院校
西南交通大学奉贤招生点,奉贤区,30.914534,121.450966,教育培训;高等院校
东方社区信息苑(南桥苑),奉贤区,30.914858,121.462376,教育培训;高等院校
c,奉贤区,30.84343,121.518575,教育培训;高等院校
华东理工大学奉贤校区-湖心岛,奉贤区,30.836016,121.5117,教育培训;高等院校
上海师范大学(奉贤校区),奉贤区,30.843209,121.523839,教育培训;高等院校
上海旅游高等专科学校(上海市公路管理处会务中心东北),奉贤区,30.879553,121.682858,教育培训;高等院校
东方社区信息苑(泥城苑),浦东新区,30.910739,121.823828,教育培训;高等院校
上海海洋大学(临港校区),浦东新区,30.889079,121.903312,教育培训;高等院校
上海建桥学院,浦东新区,30.897635,121.898611,教育培训;高等院校
上海海事大学(临港校区),浦东新区,30.88028,121.911858,教育培训;高等院校
上海电机学院(南汇新城校区),浦东新区,30.894216,121.891945,教育培训;高等院校
上海海洋大学第十小区A085-A092,浦东新区,30.884851,121.901433,教育培训;高等院校
上海海洋大学第九小区A072-A084,浦东新区,30.884149,121.901494,教育培训;高等院校
上海电机学院电子信息学院,浦东新区,30.890866,121.892953,教育培训;高等院校
Ocean University Lingang Campus West Gate,浦东新区,30.887549,121.909277,教育培训;高等院校
上海海事大学第三教学区B区,浦东新区,30.883465,121.912079,教育培训;高等院校
上海海洋大学第四小区A023-A032,浦东新区,30.884688,121.904011,教育培训;高等院校
第一教学区B区,浦东新区,30.882221,121.912618,教育培训;高等院校
上海海事大学智慧湖,浦东新区,30.880262,121.912148,教育培训;高等院校
Ocean University Lingang New City Campus East Gate,浦东新区,30.893044,121.906964,教育培训;高等院校
Ocean University Lingang New City Campus South Gate,浦东新区,30.887962,121.908641,教育培训;高等院校
上海农林职业技术学院,松江区,31.016352,121.225792,教育培训;高等院校
松江区老年大学(西部校区),松江区,31.018743,121.228228,教育培训;高等院校
上海农林职工技术学院,松江区,31.015973,121.227613,教育培训;高等院校
